Title,Genre,Second_Genre,Release_Year,Budget_Category,Revenue_Category,Runtime_Category,Rating_Category,Vote_Count_Category,Popularity_Category,Language,Production_Country,Main_Actor,Director
Avatar,Action,Adventure,2009.0,High,High,Long,High,High,High,en,United States of America,Sam Worthington,James Cameron
Pirates of the Caribbean: At World's End,Adventure,Fantasy,2007.0,High,High,Long,Medium,High,High,en,United States of America,Johnny Depp,Gore Verbinski
Spectre,Action,Adventure,2015.0,High,High,Long,Medium,High,High,en,United Kingdom,Daniel Craig,Sam Mendes
The Dark Knight Rises,Action,Crime,2012.0,High,High,Long,High,High,High,en,United States of America,Christian Bale,Christopher Nolan
John Carter,Action,Adventure,2012.0,High,Medium,Medium,Medium,High,High,en,United States of America,Taylor Kitsch,Andrew Stanton
Spider-Man 3,Fantasy,Action,2007.0,High,High,Medium,Medium,High,High,en,United States of America,Tobey Maguire,Sam Raimi
Tangled,Animation,Family,2010.0,High,High,Medium,High,High,High,en,United States of America,Zachary Levi,Byron Howard
Avengers: Age of Ultron,Action,Adventure,2015.0,High,High,Long,High,High,High,en,United States of America,Robert Downey Jr.,Joss Whedon
Harry Potter and the Half-Blood Prince,Adventure,Fantasy,2009.0,High,High,Long,High,High,High,en,United Kingdom,Daniel Radcliffe,David Yates
Batman v Superman: Dawn of Justice,Action,Adventure,2016.0,High,High,Long,Medium,High,High,en,United States of America,Ben Affleck,Zack Snyder
Superman Returns,Adventure,Fantasy,2006.0,High,High,Long,Medium,Medium,High,en,United States of America,Brandon Routh,Bryan Singer
Quantum of Solace,Adventure,Action,2008.0,High,High,Medium,Medium,High,High,en,United Kingdom,Daniel Craig,Marc Forster
Pirates of the Caribbean: Dead Man's Chest,Adventure,Fantasy,2006.0,High,High,Long,High,High,High,en,Jamaica,Johnny Depp,Gore Verbinski
The Lone Ranger,Action,Adventure,2013.0,High,Medium,Long,Medium,High,High,en,United States of America,Johnny Depp,Gore Verbinski
Man of Steel,Action,Adventure,2013.0,High,High,Long,Medium,High,High,en,United Kingdom,Henry Cavill,Zack Snyder
The Chronicles of Narnia: Prince Caspian,Adventure,Family,2008.0,High,High,Long,Medium,Medium,High,en,Czech Republic,Ben Barnes,Andrew Adamson
The Avengers,Science Fiction,Action,2012.0,High,High,Long,High,High,High,en,United States of America,Robert Downey Jr.,Joss Whedon
Pirates of the Caribbean: On Stranger Tides,Adventure,Action,2011.0,High,High,Medium,Medium,High,High,en,United States of America,Johnny Depp,Rob Marshall
Men in Black 3,Action,Comedy,2012.0,High,High,Medium,Medium,High,High,en,United States of America,Will Smith,Barry Sonnenfeld
The Hobbit: The Battle of the Five Armies,Action,Adventure,2014.0,High,High,Long,High,High,High,en,New Zealand,Martin Freeman,Peter Jackson
